Minute,HomeLead,PlayerAdvantage,playerdiff,minute,Win,Tie,Lose,N,ActWin,ActTie,ActLose,xPts,LowerWin,UpperWin,Inside?
10,1,Home,1,10,0.843527708,0.131939566,0.024532726,1,1,0,0,2.662522689,0.273394979,1.726605021,1
20,1,Home,1,20,0.857745608,0.120693188,0.021561204,6,1,0,0,2.693930012,0.714788873,1.285211127,1
30,1,Home,1,30,0.861756039,0.117142669,0.021101292,8,1,0,0,2.702410786,0.75593795,1.24406205,1
40,1,Home,1,40,0.862945214,0.11911523,0.017939556,13,1,0,0,2.707950872,0.80923573,1.19076427,1
50,1,Home,1,50,0.866720073,0.121206535,0.012073391,21,0.857142857,0.142857143,0,2.721366755,0.708808365,1.005477349,1
60,1,Home,1,60,0.87461896,0.117318401,0.008062639,25,0.84,0.16,0,2.741175281,0.707539811,0.972460189,1
70,1,Home,1,70,0.892062925,0.104398266,0.003538808,22,0.909090909,0.090909091,0,2.780587042,0.776778151,1.041403667,1
80,1,Home,1,80,0.920896372,0.078610299,0.000493329,28,0.892857143,0.107142857,0,2.841299414,0.790844368,0.994869918,1
90,1,Home,1,90,0.948951725,0.051020532,2.77E-05,32,0.90625,0.09375,0,2.897875707,0.828434233,0.984065767,1
0,2,Home,1,0,0.894594752,0.097131719,0.008273529,NA,NA,NA,NA,2.780915974,#VALUE!,#VALUE!,#VALUE!
10,2,Home,1,10,0.925068298,0.06980805,0.005123652,NA,NA,NA,NA,2.845012945,#VALUE!,#VALUE!,#VALUE!
20,2,Home,1,20,0.942189892,0.053946242,0.003863866,1,1,0,0,2.880515917,0.533231965,1.466768035,1
30,2,Home,1,30,0.949789101,0.046695594,0.003515305,NA,NA,NA,NA,2.896062898,#VALUE!,#VALUE!,#VALUE!
40,2,Home,1,40,0.954985365,0.042550074,0.002464561,3,1,0,0,2.90750617,0.760588729,1.239411271,1
50,2,Home,1,50,0.961472922,0.037390538,0.00113654,10,1,0,0,2.921809303,0.878274502,1.121725498,1
60,2,Home,1,60,0.970121246,0.029368024,0.000510731,17,1,0,0,2.939731761,0.917415264,1.082584736,1
70,2,Home,1,70,0.983608119,0.016297307,9.46E-05,17,1,0,0,2.967121664,0.938407053,1.061592947,1
80,2,Home,1,80,0.995326466,0.004671729,1.81E-06,14,1,0,0,2.990651126,0.963543794,1.036456206,1
90,2,Home,1,90,0.999180392,0.000819602,6.03E-09,17,1,0,0,2.998360778,0.986118687,1.013881313,1
0,3,Home,1,0,0.94065375,0.057356816,0.001989435,NA,NA,NA,NA,2.879318064,#VALUE!,#VALUE!,#VALUE!
10,3,Home,1,10,0.965837506,0.033200608,0.000961886,NA,NA,NA,NA,2.930713126,#VALUE!,#VALUE!,#VALUE!
20,3,Home,1,20,0.97780397,0.02157643,0.0006196,NA,NA,NA,NA,2.954988341,#VALUE!,#VALUE!,#VALUE!
30,3,Home,1,30,0.982877035,0.016600682,0.000522283,1,1,0,0,2.965231786,0.740540798,1.259459202,1
40,3,Home,1,40,0.986203479,0.013495889,0.000300632,NA,NA,NA,NA,2.972106326,#VALUE!,#VALUE!,#VALUE!
50,3,Home,1,50,0.989666181,0.010238848,9.50E-05,NA,NA,NA,NA,2.979237389,#VALUE!,#VALUE!,#VALUE!
60,3,Home,1,60,0.993426514,0.006544684,2.88E-05,3,1,0,0,2.986824228,0.906688516,1.093311484,1
70,3,Home,1,70,0.997709963,0.002287764,2.27E-06,9,1,0,0,2.995417653,0.968133661,1.031866339,1
80,3,Home,1,80,0.999743396,0.000256597,6.10E-09,16,1,0,0,2.999486787,0.991991603,1.008008397,1
90,3,Home,1,90,0.999987492,1.25E-05,1.25E-12,17,1,0,0,2.999974984,0.998284488,1.001715512,1
0,-3,Neutral,0,0,0.14958524,0.062512515,0.787902245,NA,NA,NA,NA,0.511268236,#VALUE!,#VALUE!,#VALUE!
10,-3,Neutral,0,10,0.084488279,0.066882185,0.848629536,NA,NA,NA,NA,0.320347021,#VALUE!,#VALUE!,#VALUE!
20,-3,Neutral,0,20,0.05049833,0.076240587,0.873261083,1,0,0,1,0.227735578,-0.437941772,0.437941772,1
30,-3,Neutral,0,30,0.033454326,0.089636137,0.876909537,4,0,0,1,0.189999115,-0.179819727,0.179819727,1
