"","Team","Conf Semis","Conf Finals","Finals","Champs"
"1","SKC",1,0.6678,0.4147,0.2107
"2","ATL",1,0.5822,0.3353,0.2059
"3","NYRB",1,0.5853,0.2938,0.1773
"4","NYC",1,0.4178,0.1959,0.1029
"5","POR",1,0.548,0.2479,0.0989
"6","CLB",1,0.4147,0.175,0.0883
"7","SEA",1,0.452,0.1863,0.0656
"8","RSL",1,0.3322,0.1511,0.0504
